# Entertainment
Netflix|netflix.com|Netflix Standard,Netflix Premium,Netflix Basic
Disney+|disneyplus.com|Disney Plus,Disney Hotstar,Disney+ Hotstar
Amazon Prime Video|primevideo.com|Prime Video
YouTube Premium|youtube.com|YouTube Red
Apple TV+|tv.apple.com|Apple TV Plus,Apple TV
HBO Max|hbomax.com|Max,HBO Now,HBO Go
Hulu|hulu.com
Splunk|splunk.com
Elastic Cloud|elastic.co
Grafana Cloud|grafana.com
Better Stack|betterstack.com
Axiom|axiom.co
Papertrail|papertrail.com
Loggly|loggly.com
Logz.io|logz.io
Sumo Logic|sumologic.com
Coralogix|coralogix.com
Mezmo|mezmo.com
Honeycomb|honeycomb.io
Lightstep|lightstep.com
Chronosphere|chronosphere.io
SigNoz|signoz.io
SolarWinds|solarwinds.com
UptimeRobot|uptimerobot.com
Pingdom|pingdom.com
Uptime.com|uptime.com
StatusCake|statuscake.com
Checkly|checklyhq.com
Oh Dear|ohdear.app
Cronitor|cronitor.io
Healthchecks.io|healthchecks.io
Dead Man's Snitch|deadmanssnitch.com
Pulsetic|pulsetic.com
PagerDuty|pagerduty.com
Opsgenie|opsgenie.com
incident.io|incident.io
Rootly|rootly.com
FireHydrant|firehydrant.com
Squadcast|squadcast.com
Statuspage|atlassian.com
Instatus|instatus.com
Status.io|status.io
Sorry|sorryapp.com
# Hosting
Amazon Web Services|aws.amazon.com|AWS
Google Cloud|cloud.google.com|GCP
Microsoft Azure|azure.microsoft.com
DigitalOcean|digitalocean.com
Linode|linode.com|Akamai Cloud
Vultr|vultr.com
Hetzner|hetzner.com
OVHcloud|ovhcloud.com
Scaleway|scaleway.com
UpCloud|upcloud.com
Contabo|contabo.com
IONOS|ionos.com
Kamatera|kamatera.com
Rackspace|rackspace.com
Liquid Web|liquidweb.com
Leaseweb|leaseweb.com
Hostinger|hostinger.com
Bluehost|bluehost.com
SiteGround|siteground.com
DreamHost|dreamhost.com
HostGator|hostgator.com
A2 Hosting|a2hosting.com
InMotion Hosting|inmotionhosting.com
GreenGeeks|greengeeks.com
Namecheap|namecheap.com
GoDaddy|godaddy.com
Porkbun|porkbun.com
Name.com|name.com
Gandi|gandi.net
Hover|hover.com
Dynadot|dynadot.com
Cloudflare|cloudflare.com
Fastly|fastly.com
Bunny.net|bunny.net
KeyCDN|keycdn.com
CDN77|cdn77.com
Cloudinary|cloudinary.com
ImageKit|imagekit.io
imgix|imgix.com
Uploadcare|uploadcare.com
Filestack|filestack.com
Cloudimage|cloudimage.io
Sirv|sirv.com
Gumlet|gumlet.com
Mux|mux.com
api.video|api.video
Cloudflare Stream|cloudflare.com
Vercel|vercel.com
Netlify|netlify.com
Render|render.com
Railway|railway.app
Fly.io|fly.io
Heroku|heroku.com
Platform.sh|platform.sh
Platformatic|platformatic.dev
Northflank|northflank.com
Koyeb|koyeb.com
Zeabur|zeabur.com
Coolify Cloud|coolify.io
Cloudways|cloudways.com
Kinsta|kinsta.com
WP Engine|wpengine.com
Flywheel|getflywheel.com
Pressable|pressable.com
Pagely|pagely.com
Rocket.net|rocket.net
WordPress.com|wordpress.com
Wix|wix.com
Squarespace|squarespace.com
Weebly|weebly.com
Ghost|ghost.org
Carrd|carrd.co
Duda|duda.co
Strikingly|strikingly.com
Jimdo|jimdo.com
Tilda|tilda.cc
Dorik|dorik.com
Typedream|typedream.com
Unicorn Platform|unicornplatform.com
Softr|softr.io
Bubble|bubble.io
Glide|glideapps.com
Adalo|adalo.com
FlutterFlow|flutterflow.io
Thunkable|thunkable.com
Bravo Studio|bravostudio.app
Draftbit|draftbit.com
Backendless|backendless.com
Supabase|supabase.com
Firebase|firebase.google.com
Appwrite|appwrite.io
Convex|convex.dev
Neon|neon.tech
PlanetScale|planetscale.com
MongoDB Atlas|mongodb.com
CockroachDB|cockroachlabs.com
Turso|turso.tech
# Education
Coursera|coursera.org
Udemy|udemy.com
LinkedIn Learning|linkedin.com
Skillshare|skillshare.com
MasterClass|masterclass.com
Brilliant|brilliant.org
DataCamp|datacamp.com
Codecademy|codecademy.com
Pluralsight|pluralsight.com
O'Reilly Learning|oreilly.com
Frontend Masters|frontendmasters.com
Educative|educative.io
Treehouse|teamtreehouse.com
Boot.dev|boot.dev
Scrimba|scrimba.com
LeetCode|leetcode.com
AlgoExpert|algoexpert.io
NeetCode|neetcode.io
Interview Cake|interviewcake.com
Design Gurus|designgurus.io
Duolingo|duolingo.com|Super Duolingo,Duolingo Plus,Duolingo Max
Babbel|babbel.com
Busuu|busuu.com
Memrise|memrise.com
Rosetta Stone|rosettastone.com
Lingoda|lingoda.com
Pimsleur|pimsleur.com
LingQ|lingq.com
Drops|languagedrops.com
Mondly|mondly.com
ELSA Speak|elsaspeak.com
Speak|speak.com
Preply|preply.com
Cambly|cambly.com
Lingopie|lingopie.com
FluentU|fluentu.com
WaniKani|wanikani.com
Bunpro|bunpro.jp
LingoDeer|lingodeer.com
Clozemaster|clozemaster.com
Quizlet|quizlet.com
Chegg|chegg.com
Course Hero|coursehero.com
Study.com|study.com
Scribbr|scribbr.com
Wolfram Alpha|wolframalpha.com
Symbolab|symbolab.com
Mathway|mathway.com
Photomath|photomath.com
Khanmigo|khanmigo.ai
ABCmouse|abcmouse.com
Adventure Academy|adventureacademy.com
Reading Eggs|readingeggs.com
Reading.com|reading.com
Epic!|getepic.com
SplashLearn|splashlearn.com
IXL|ixl.com
Prodigy|prodigygame.com
Homer|learnwithhomer.com
Lingokids|lingokids.com
# Health & Fitness
Strava|strava.com
AllTrails|alltrails.com
Komoot|komoot.com
Ride with GPS|ridewithgps.com
Zwift|zwift.com
TrainerRoad|trainerroad.com
TrainingPeaks|trainingpeaks.com
Wahoo SYSTM|wahoofitness.com
Rouvy|rouvy.com
Peloton|onepeloton.com
Apple Fitness+|apple.com
Fitbit Premium|fitbit.com
Garmin Connect+|garmin.com
WHOOP|whoop.com
Oura|ouraring.com
Eight Sleep|eightsleep.com
MyFitnessPal|myfitnesspal.com
Cronometer|cronometer.com
Lose It!|loseit.com
Lifesum|lifesum.com
Yazio|yazio.com
MacroFactor|macrofactorapp.com
Noom|noom.com
WeightWatchers|weightwatchers.com|WW
Centr|centr.com
Freeletics|freeletics.com
Fitbod|fitbod.me
Hevy|hevyapp.com
Strong|strong.app
JEFIT|jefit.com
StrongLifts|stronglifts.com
Caliber|caliberstrong.com
Ladder|joinladder.com
Sweat|sweat.com
Les Mills+|lesmills.com
BODi|bodi.com|Beachbody
Daily Burn|dailyburn.com
Glo|glo.com
Alo Moves|alomoves.com
Down Dog|downdogapp.com
Yoga International|yogainternational.com
Headspace|headspace.com
Calm|calm.com
Insight Timer|insighttimer.com
Waking Up|wakingup.com
Balance|balanceapp.com
Happier Meditation|meditatehappier.com|Ten Percent Happier,Happier
BetterSleep|bettersleep.com
Sleep Cycle|sleepcycle.com
SleepScore|sleepscore.com
Finch|befinch.com
Fabulous|thefabulous.co
Daylio|daylio.net
Stoic|getstoic.com
ClassPass|classpass.com
Fitness First|fitnessfirst.com
Anytime Fitness|anytimefitness.com
Pure Fitness|pure-fitness.com
# Books & News
Audible|audible.com
Everand|everand.com|Scribd Books
Scribd|scribd.com
Kindle Unlimited|amazon.com
Kobo Plus|kobo.com
Storytel|storytel.com
BookBeat|bookbeat.com
Nextory|nextory.com
Audiobooks.com|audiobooks.com
Libro.fm|libro.fm
Blinkist|blinkist.com
Headway|makeheadway.com
Shortform|shortform.com
getAbstract|getabstract.com
Instaread|instaread.co
Readwise|readwise.io
Instapaper|instapaper.com
Feedly|feedly.com
Inoreader|inoreader.com
NewsBlur|newsblur.com
Readly|readly.com
Magzter|magzter.com
PressReader|pressreader.com
Zinio|zinio.com
Apple News+|apple.com
The New York Times|nytimes.com|NYT
The Washington Post|washingtonpost.com
The Wall Street Journal|wsj.com|WSJ
Financial Times|ft.com
The Economist|economist.com
Bloomberg|bloomberg.com
Reuters|reuters.com
The Guardian|theguardian.com
The Times|thetimes.com
The Telegraph|telegraph.co.uk
The Atlantic|theatlantic.com
The New Yorker|newyorker.com
Wired|wired.com
The Information|theinformation.com
TechCrunch|techcrunch.com
Medium|medium.com
Substack|substack.com
The Straits Times|straitstimes.com
The Business Times|businesstimes.com.sg
The Edge Malaysia|theedgemalaysia.com
Malaysiakini|malaysiakini.com
The Star|thestar.com.my
South China Morning Post|scmp.com
Nikkei Asia|asia.nikkei.com
The Japan Times|japantimes.co.jp
# Shopping & Lifestyle
Amazon Prime|amazon.com
Apple One|apple.com
Walmart+|walmart.com
Costco|costco.com
Sam's Club|samsclub.com
Target Circle 360|target.com
GrabUnlimited|grab.com|Grab Unlimited
foodpanda pandapro|foodpanda.com|pandapro
Deliveroo Plus|deliveroo.com
Uber One|uber.com
DoorDash DashPass|doordash.com|DashPass
Instacart+|instacart.com
Shipt|shipt.com
HelloFresh|hellofresh.com
Blue Apron|blueapron.com
Factor|factor75.com
Gousto|gousto.co.uk
Mindful Chef|mindfulchef.com
Huel|huel.com
AG1|drinkag1.com|Athletic Greens
Dollar Shave Club|dollarshaveclub.com
Harry's|harrys.com
Birchbox|birchbox.com
Ipsy|ipsy.com
BoxyCharm|boxycharm.com
FabFitFun|fabfitfun.com
BarkBox|barkbox.com
KiwiCo|kiwico.com
CrunchLabs|crunchlabs.com
Lovevery|lovevery.com
# Finance & Business
YNAB|ynab.com|You Need A Budget
Monarch Money|monarchmoney.com
Copilot Money|copilot.money
Quicken|quicken.com
PocketSmith|pocketsmith.com
Lunch Money|lunchmoney.app
Tiller|tillerhq.com
Spendee|spendee.com
MoneyWiz|wiz.money
Wallet by BudgetBakers|budgetbakers.com
TradingView|tradingview.com
Seeking Alpha|seekingalpha.com
Morningstar|morningstar.com
The Motley Fool|fool.com
Koyfin|koyfin.com
Finviz|finviz.com
Stock Rover|stockrover.com
Simply Wall St|simplywall.st
Sharesight|sharesight.com
Snowball Analytics|snowball-analytics.com
QuickBooks|quickbooks.intuit.com
Xero|xero.com
FreshBooks|freshbooks.com
Wave|waveapps.com
Zoho Books|zoho.com
Sage|sage.com
FreeAgent|freeagent.com
Bonsai|hellobonsai.com
HoneyBook|honeybook.com
Dubsado|dubsado.com
